country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,45.9,45.9,45.9,41.6,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,37.1,23.3,23.3,23.3,28.4,33.3,33.3,33.3,33.3,32.3,21.8,21.8,21,17.6,17.6,17.6,17.6,17.6,15.2,15.2,15.2,19.5,21,22.8,21.6,21.6,23.7,20.5,22.5,52.1
Angola,47.5,47.5,47.5,46.2,46.2,42.3,42.3,40.7,40.7,41.5,41.5,41.5,40.9,36,36,36,36,28.8,28.5,28.5,28.5,28.5,27.8,27.8,27.8,27.8,27.8,22.4,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.2,17.2,17.2,17.2,17.2,28.9,38.8,40.2,40.2,45.2
Albania,75.8,75.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,71.9,69.5,69.5,69.5,69.5,67.8,61.8,46.5,44.1,44.5,44.5,44.1,43.2,40.1,39.3,37.8,38.2,40.7,38,38,38,38.2,38.2,38.2,32.8,32.8,32.8,33.6,33.6,32.8,32.4,32.4,32.4,29.3,29.3,29.3,29.3,34.2
UAE,55.1,55.1,55.1,53.8,54.4,55.1,55.1,55.1,55.1,55.2,56.4,58,58,58,58,56.4,56.4,58.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,65,65,65,65.6,65.6,65.6,65.6,65.6,66.3,66.3,66.3,66.3,66.3,66.3,66.3
Argentina,49.3,47.4,47.4,47.4,47.4,47.4,47.4,47.4,59.7,62.6,63.5,63.5,63.5,63.5,62.4,51.1,51.1,51.1,50.6,50.6,50.6,50.6,49.9,49.9,49.9,56,55.2,54.6,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,48.5,48.5,50.2,50.9,50.9,51.6,50.9,50.9,50.9
Armenia,,,,,,,,,,,,,,,,,50.8,50.3,50.3,50.3,48.6,41.2,40.8,38.8,39.2,35,26.9,26.9,26.9,26.9,26.9,26.9,26.9,29.1,29.1,29.1,29.1,29.8,29.6,29.6,30.3,30.3,32.3,47.5,57.2,54.4,53.2
Australia,84.3,84.3,84.3,84.3,84.3,90.6,90.6,90.6,90.6,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,89.7,89.7,89.7,89.7,90.9,89.7,89.7,89.7,89.7,89.7,90.9,89.7,81.9,81.9,81.9,82.7,86.1,85.4,86.1,86.1,86.1
Austria,73.2,73.2,73.2,73.2,73.2,70.1,70.1,70.1,70.1,70.8,70.8,70.8,73,73,73,73,73,73,73,73,73,73,72.5,72.5,72.5,71,69,69.5,71,68.3,68.3,69.5,73,73,73,73,71,72.5,76.3,76.3,76.3,76.3,76.3,74.7,71.9,73.6,63.5
Azerbaijan,,,,,,,,,,,,,,,,,37.6,39.9,23.9,11.5,11.5,11.5,11.5,11.5,12.5,12.5,12.5,12.5,12.5,12.5,11.1,11.1,11.1,11.1,11.1,11.1,11.1,14.6,16.4,16.4,16.4,16.4,17.9,17.9,19,16.2,24.4
Burundi,54.8,59.9,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,62.7,62.7,62.7,62.7,56.4,51.5,49.3,49.3,50,50,50,50,50,50,50,50,48.9,25.5,24.7,26,24.8,24.8,23.9,23.9,22.9,18.1,16.4,16.4,12.7,12.7,12.7,13.8,17.6,35
